lat,lon,Time,o3_column,so2_column,SolarZenithAngle,ViewingZenithAngle,datetime
33.875,-84.875,1033500196.991102,288.3,-0.03,45.906,20.492,2002-10-01 19:23:16.991101980
33.875,-84.625,1033500196.991102,288.3,-0.03,45.906,20.492,2002-10-01 19:23:16.991101980
34.125,-122.875,1033512023.23216,284.2,-0.15,53.44,56.452,2002-10-01 22:40:23.232159972
34.125,-122.625,1033512023.23216,284.2,-0.15,53.44,56.452,2002-10-01 22:40:23.232159972
34.125,-122.375,1033512023.23216,284.2,-0.15,53.44,56.452,2002-10-01 22:40:23.232159972
34.125,-122.125,1033512023.23216,284.2,-0.15,53.44,56.452,2002-10-01 22:40:23.232159972
34.125,-121.875,1033512023.23216,284.2,-0.15,53.44,56.452,2002-10-01 22:40:23.232159972
34.125,-121.625,1033512023.23216,284.4,0.01,53.989,59.11,2002-10-01 22:40:23.232159972
34.125,-121.375,1033512023.23216,284.4,0.01,53.989,59.11,2002-10-01 22:40:23.232159972
34.125,-121.125,1033512023.23216,284.4,0.01,53.989,59.11,2002-10-01 22:40:23.232159972
34.125,-120.875,1033512023.23216,284.4,0.01,53.989,59.11,2002-10-01 22:40:23.232159972
34.125,-120.625,1033512023.23216,283.5,-0.24,54.623,61.877,2002-10-01 22:40:23.232159972
34.125,-120.375,1033512023.23216,283.5,-0.24,54.623,61.877,2002-10-01 22:40:23.232159972
34.125,-120.125,1033512023.23216,283.5,-0.24,54.623,61.877,2002-10-01 22:40:23.232159972
34.125,-119.875,1033512023.23216,283.5,-0.24,54.623,61.877,2002-10-01 22:40:23.232159972
34.125,-119.625,1033506160.1209848,281.0,1.24,41.683,62.722,2002-10-01 21:02:40.120984793
34.125,-119.375,1033506160.1209848,281.0,1.24,41.683,62.722,2002-10-01 21:02:40.120984793
34.125,-119.125,1033506160.1209848,281.0,1.24,41.683,62.722,2002-10-01 21:02:40.120984793
34.125,-118.875,1033506160.1209848,281.0,1.24,41.683,62.722,2002-10-01 21:02:40.120984793
34.125,-118.625,1033506158.120603,276.9,-1.36,42.248,59.923,2002-10-01 21:02:38.120602965
34.125,-118.375,1033506156.120191,278.1,0.09,42.166,59.923,2002-10-01 21:02:36.120190978
34.125,-118.125,1033506156.120191,278.1,0.09,42.166,59.923,2002-10-01 21:02:36.120190978
34.125,-117.875,1033506156.120191,278.1,0.09,42.166,59.923,2002-10-01 21:02:36.120190978
34.125,-117.625,1033506152.1194588,275.2,0.32,42.569,57.243,2002-10-01 21:02:32.119458795
34.125,-117.375,1033506150.119077,275.6,-0.22,42.488,57.243,2002-10-01 21:02:30.119076967
34.125,-117.125,1033506150.119077,275.6,-0.22,42.488,57.243,2002-10-01 21:02:30.119076967
34.125,-116.875,1033506152.1194588,279.9,0.17,43.07,54.654,2002-10-01 21:02:32.119458795
34.125,-116.625,1033506146.11833,279.5,0.17,42.829,54.654,2002-10-01 21:02:26.118330002
34.125,-116.375,1033506146.11833,279.5,0.17,42.829,54.654,2002-10-01 21:02:26.118330002
34.125,-116.125,1033506146.11833,279.5,0.17,42.829,54.654,2002-10-01 21:02:26.118330002
34.125,-115.875,1033506144.1179328,281.4,-0.23,43.199,52.138,2002-10-01 21:02:24.117932796
34.125,-115.625,1033506144.1179328,281.4,-0.23,43.199,52.138,2002-10-01 21:02:24.117932796
34.125,-115.375,1033506144.1179328,280.4,-0.31,43.607,49.682,2002-10-01 21:02:24.117932796
34.125,-115.125,1033506140.117185,280.8,0.24,43.449,49.682,2002-10-01 21:02:20.117184997
34.125,-114.875,1033506140.117185,280.8,0.24,43.449,49.682,2002-10-01 21:02:20.117184997
34.125,-114.625,1033506138.116804,281.1,-0.18,43.744,47.276,2002-10-01 21:02:18.116804004
34.125,-114.375,1033506138.116804,281.1,-0.18,43.744,47.276,2002-10-01 21:02:18.116804004
34.125,-114.125,1033506136.1164068,280.0,0.36,44.01,44.912,2002-10-01 21:02:16.116406798
34.125,-113.875,1033506136.1164068,280.0,0.36,44.01,44.912,2002-10-01 21:02:16.116406798
34.125,-113.625,1033506134.116041,279.4,-0.08,44.252,42.583,2002-10-01 21:02:14.116040945
34.125,-113.375,1033506134.116041,279.4,-0.08,44.252,42.583,2002-10-01 21:02:14.116040945
34.125,-113.125,1033506132.115644,278.8,-0.6,44.472,40.285,2002-10-01 21:02:12.115643978
34.125,-112.875,1033506132.115644,278.8,-0.6,44.472,40.285,2002-10-01 21:02:12.115643978
34.125,-112.625,1033506130.115293,278.2,0.23,44.675,38.015,2002-10-01 21:02:10.115293026
34.125,-112.375,1033506132.115644,277.2,-0.92,45.015,35.768,2002-10-01 21:02:12.115643978
34.125,-112.125,1033506128.114912,278.3,-0.04,44.862,35.768,2002-10-01 21:02:08.114912033
34.125,-111.875,1033506128.114912,276.9,0.32,45.112,33.541,2002-10-01 21:02:08.114912033
34.125,-111.625,1033506128.114912,276.2,0.36,45.349,31.332,2002-10-01 21:02:08.114912033
34.125,-111.375,1033506126.11453,276.8,0.43,45.274,31.332,2002-10-01 21:02:06.114529967
34.125,-111.125,1033506124.114149,276.5,-0.06,45.425,29.139,2002-10-01 21:02:04.114148974
34.125,-110.875,1033506124.114149,276.3,0.05,45.643,26.96,2002-10-01 21:02:04.114148974
34.125,-110.625,1033506126.11453,277.0,0.49,45.926,24.793,2002-10-01 21:02:06.114529967
34.125,-110.375,1033506122.113783,276.3,0.64,45.777,24.794,2002-10-01 21:02:02.113783002
34.125,-110.125,1033506122.113783,276.8,0.27,45.979,22.638,2002-10-01 21:02:02.113783002
34.125,-109.875,1033506120.1134008,275.6,0.83,46.101,20.491,2002-10-01 21:02:00.113400817
34.125,-109.625,1033506120.1134008,275.6,0.83,46.101,20.491,2002-10-01 21:02:00.113400817
34.125,-109.375,1033506120.1134008,275.6,0.83,46.101,20.491,2002-10-01 21:02:00.113400817
34.125,-98.125,1033506104.1103648,277.4,0.3,53.4,56.453,2002-10-01 21:01:44.110364795
34.125,-97.875,1033506104.1103648,277.4,0.3,53.4,56.453,2002-10-01 21:01:44.110364795
34.125,-97.625,1033506104.1103648,277.4,0.3,53.4,56.453,2002-10-01 21:01:44.110364795
34.125,-97.375,1033506104.1103648,277.4,0.3,53.4,56.453,2002-10-01 21:01:44.110364795
34.125,-97.125,1033506104.1103648,277.4,0.3,53.4,56.453,2002-10-01 21:01:44.110364795
34.125,-96.875,1033506104.1103648,276.6,-0.08,53.949,59.111,2002-10-01 21:01:44.110364795
34.125,-96.625,1033506104.1103648,276.6,-0.08,53.949,59.111,2002-10-01 21:01:44.110364795
